No, kabupaten_kota, 2017, 2018, 2019, 2020, 2021
1, Lampung Barat, 67, 56, 78, 0, 296
2, Tanggamus, 193, 200, 211, 1142, 720
3, Lampung Selatan, 17883, 20391, 20324, 63007, 69319
4, Lampung Timur, 9246, 9374, 9397, 25286, 39257
5, Lampung Tengah, 5586, 5606, 6028, 9850, 22863
6, Lampung Utara, 891, 914, 974, 8531, 9202
7, Way Kanan, 657, 791, 1302, 1291, 7012
8, Tulang Bawang, 316, 431, 185, 4447, 919
9, Pesawaran, 757, 1802, 3247, 5453, 11711
10, Pringsewu, 5134, 5432, 5466, 7529, 20928
11, Mesuji, 21, 43, 45, 815, 606
12, Tulang Bawang Barat, 129, 397, 435, 64, 2191
13, Pesisir Barat, 0, 0, 0, 340, 60
14, Bandar Lampung, 90, 86, 34, 41603, 144
15, Metro, 106, 106, 11, 23913, 41
